UBIDPTO,REGION,ZONA,OCU,INFORM,SEXO,GEDUC,AEDUC,AEDAD,AEDAD2,WS,LWS,EXP,EXP2
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,11,46,2116,305.0655026858882,5.720526516453711,24,576
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SUP. NO UNIV.,14,27,729,205.63921454311134,5.32612324760751,3.6,12.96
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SUP. NO UNIV.,14,25,625,80.89308419746504,4.3931283345940715,5,25
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,6,42,1764,54.92598225261733,4.0059865016358875,1,1
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,11,42,1764,303.32029864085047,5.714789338405804,25,625
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,11,43,1849,234.6628208250788,5.458149678826145,15,225
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SUP. UNIV.,16,26,676,481.0626183046973,6.175997445218263,2,4
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SECUNDARIA,11,50,2500,597.7995086579381,6.393255427932367,10,100
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SUP. UNIV.,16,26,676,398.9229597893481,5.988768315012179,0.7,0.48999999999999994
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SUP. UNIV.,16,24,576,485.81877877908596,6.185835671191672,3,9
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,11,50,2500,437.8736127066197,6.081930313271969,3,9
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,PRIMARIA,5,46,2116,303.953174833007,5.716873659387777,3,9
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SECUNDARIA,11,27,729,298.1805768378821,5.697699265527465,8,64
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,9,42,1764,303.32029864085047,5.714789338405804,3,9
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SUP. UNIV.,12,21,441,303.32029864085047,5.714789338405804,3,9
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,7,47,2209,390.0051588998694,5.966159966984587,15,225
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,4,57,3249,109.353334778081,4.694584243027968,32,1024
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,11,25,625,225.9751567327479,5.420425067268692,5,25
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,8,61,3721,50.91776636895915,3.930211907231391,20,400
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,6,57,3249,35.90134035506272,3.580774630592889,0.1,0.010000000000000002
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,8,35,1225,386.0161210826402,5.955879133055518,8,64
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,6,20,400,151.66014932042523,5.021642157845859,0.5,0.25
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,8,32,1024,454.9804479612757,6.120254446513969,2.5,6.25
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,11,59,3481,276.892923101707,5.6236308722544575,10,100
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,0,83,6889,18.558613946901207,2.9209340449843313,7,49
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SECUNDARIA,11,44,1936,410.27637511530816,6.016831018251764,2,4
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,10,41,1681,21.824639596186636,3.0830395882416277,5,25
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SUP. NO UNIV.,14,23,529,471.6653657544939,6.156269763287744,0.1,0.010000000000000002
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,11,16,256,5.868488327269868,1.7695970755077322,0.5,0.25
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,PRIMARIA,4,36,1296,222.1395434469506,5.403305758487697,0.5,0.25
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,11,17,289,8.687664092330884,2.1619040990383853,0.1,0.010000000000000002
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,6,45,2025,273.5942956759214,5.611646336393335,14,196
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SUP. UNIV.,16,49,2401,591.8926641978103,6.383325307968603,19,361
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,2,57,3249,64.39720728205378,4.165070266984511,2,4
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,3,78,6084,164.6163003795819,5.103617313592421,0.2,0.04000000000000001
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,11,22,484,56.325981101933344,4.031155904753971,0.1,0.010000000000000002
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,9,58,3364,280.9011389853652,5.638002788873658,36,1296
